DD  MM YY HH MM SS NS Lat     EW       Lon  K1     K2     K3     K4     K5     K6     K7     K8     K9    K10    K11    K12    K13    K14    K15    K16    K17   Pres    Tpr    Hum    Thm   Tbrd  Ubat
29  7 10   1 43 42 N  4311907 E 13155488   7568   9276   5038   7687  12777   8907   8744  11691  10350   8793  10090   7130   7259   7087  10139   9807   7071      6      5      4      3      2  3.0
29  7 10   1 44 43 N  4311907 E 13155488   7582   9280   5057   7699  12705   8907   8692  11684  10332   8789  10084   7101   7246   7071  10166   9810   7079      6      5      4      3      2  3.0
29  7 10   1 45 44 N  4311907 E 13155488   7556   9257   5032   7671  12720   8878   8694  11641  10293   8761  10048   7049   7224   7042  10108   9780   7051      6      5      4      3      2  3.0
29  7 10   1 48 58 N  4311907 E 13155488   7718   9477   5117   7810  12934   9006   8832  11856  10451   8904  10197   7195   7337   7162  10260   9918   7149      6      5      4      3      2  3.0
29  7 10   1 49 59 N  4311907 E 13155488   7623   9348   5067   7711  12703   8906   8683  11705  10302   8801  10074   7117   7241   7078  10178   9814   7071      6      5      4      3      2  3.0
29  7 10   1 51  0 N  4311907 E 13155488   7585   9282   5024   7659  12734   8881   8688  11622  10236   8748  10046   7026   7227   7056  10091   9766   7050      6      5      4      3      2  3.0
29  7 10   1 52  1 N  4311907 E 13155488   7528   9232   4984   7604  12635   8809   8632  11533  10136   8671   9955   6964   7158   6989  10012   9683   6986      6      5      4      3      2  3.0
29  7 10   1 53  2 N  4311907 E 13155488   7619   9338   5041   7694  12735   8875   8678  11649  10264   8765  10041   7053   7218   7049  10109   9769   7041      6      5      4      3      2  3.0
29  7 10   1 54  3 N  4311907 E 13155488   7610   9325   5042   7675  12647   8861   8648  11649  10240   8751  10029   7039   7206   7037  10106   9748   7029      6      5      4      3      2  3.0
29  7 10   1 55  4 N  4311907 E 13155488   7633   9344   5050   7686  12692   8888   8672  11664  10239   8763  10045   7021   7229   7055  10134   9783   7051      6      5      4      3      2  2.9
29  7 10   1 56  5 N  4311907 E 13155488   7657   9385   5055   7706  12814   8929   8735  11693  10298   8792  10098   7035   7261   7084  10158   9812   7078      6      5      4      3      2  3.0
29  7 10   1 57  6 N  4311907 E 13155488   7584   9287   5006   7630  12663   8837   8649  11571  10178   8706   9993   6974   7193   7018  10045   9720   7008      6      5      4      3      2  3.0
29  7 10   1 58  7 N  4311907 E 13155488   7635   9332   5039   7670  12686   8892   8661  11625  10219   8750  10044   7016   7218   7051  10110   9767   7048      6      5      4      3      2  3.0
29  7 10   1 59  8 N  4311907 E 13155488   7532   9217   4961   7567  12546   8748   8556  11468  10084   8618   9879   6924   7111   6946   9954   9624   6939      6      5      4      3      2  3.0
29  7 10   2  0  9 N  4311907 E 13155488   7568   9282   4984   7603  12572   8747   8575  11522  10122   8642   9898   6973   7117   6949   9961   9628   6943      6      5      4      3      2  3.0
29  7 10   2  1 10 N  4311907 E 13155488   7585   9313   4999   7627  12593   8766   8584  11534  10127   8658   9908   6997   7128   6963   9982   9649   6950      6      5      4      3      2  3.0
29  7 10   2  2 11 N  4311907 E 13155488   7807   9555   5129   7828  12976   9026   8840  11829  10407   8887  10196   7161   7343   7169  10255   9922   7157      6      5      4      3      2  3.0
29  7 10   2  3 12 N  4311907 E 13155488   7588   9281   4991   7613  12632   8791   8591  11509  10110   8640   9921   6970   7142   6975   9991   9659   6965      6      5      4      3      2  3.0
29  7 10   2  4 13 N  4311907 E 13155488   7580   9284   4990   7594  12501   8742   8531  11489  10085   8619   9871   6970   7096   6932   9953   9612   6923      6      5      4      3      2  3.0
29  7 10   2  5 14 N  4311907 E 13155488   7710   9446   5082   7732  12758   8913   8702  11704  10276   8795  10086   7074   7258   7077  10150   9799   7067      6      5      4      3      2  3.0
29  7 10   2  6 15 N  4311907 E 13155488   7609   9326   5013   7631  12590   8777   8573  11540  10135   8660   9923   6948   7137   6967   9995   9652   6960      6      5      4      3      2  3.0
